deviceId,TimeStamp,AcceleratorPositionD,AcceleratorPositionE,BarometricPressure,Battery,CommandedEGR,ControlModuleVoltage,CoolantTemperature,DistanceSinceDTCClear,DistanceWithMIL,DTC,EngineLoad,EngineSpeed,FuelRailPressureDirect,IntakeTemp,MAF,MAP,PidsA,PidsB,PidsC,Speed,Status.DTCCount,Status.MIL,VehicleIdentification.VIN
RQHVTJF00006025,2020-09-01T14:19:11.000Z,14,7,90,13.73099995,19,14,85,0,0,"\\""""",25,756,33600,45,6,89,2554003473,2685411329,3233808384,0,1,FALSE,0
RQHVTJF00006025,2020-09-01T14:19:14.000Z,14,7,90,13.73099995,19,14,85,0,0,"\\""""",25,756,33600,45,6,89,2554003473,2685411329,3233808384,0,1,FALSE,0
RQHVTJF00006025,2020-09-01T14:19:17.000Z,14,7,90,13.73099995,23,14,85,0,0,"\\""""",81,900,37800,45,8,91,2554003473,2685411329,3233808384,0,1,FALSE,0
RQHVTJF00006025,2020-09-01T14:19:20.000Z,14,7,90,13.73099995,19,14,85,0,0,"\\""""",25,757,28600,45,6,89,2554003473,2685411329,3233808384,0,1,FALSE,0
RQHVTJF00006025,2020-09-01T14:19:23.000Z,14,7,90,13.73099995,19,14,85,0,0,"\\""""",25,756,29400,45,6,89,2554003473,2685411329,3233808384,0,1,FALSE,0
RQHVTJF00006025,2020-09-01T14:19:26.000Z,14,7,90,13.73099995,19,14,85,0,0,"\\""""",27,761,28800,45,6,89,2554003473,2685411329,3233808384,0,1,FALSE,0
RQHVTJF00006025,2020-09-01T14:19:29.000Z,14,7,90,13.73099995,19,14,85,0,0,"\\""""",27,762,29000,45,6,89,2554003473,2685411329,3233808384,0,1,FALSE,0
RQHVTJF00006025,2020-09-01T14:19:32.000Z,14,7,90,13.73099995,27,14,85,0,0,"\\""""",22,762,28600,45,6,89,2554003473,2685411329,3233808384,0,1,FALSE,0
RQHVTJF00006025,2020-09-01T14:19:35.000Z,14,7,90,13.73099995,30,14,85,0,0,"\\""""",25,754,29000,45,6,89,2554003473,2685411329,3233808384,0,1,FALSE,0
RQHVTJF00006025,2020-09-01T14:19:38.000Z,14,7,90,13.73099995,35,14,86,0,0,"\\""""",23,759,29400,45,6,89,2554003473,2685411329,3233808384,0,1,FALSE,0
RQHVTJF00006025,2020-09-01T14:19:41.000Z,14,7,90,13.73099995,35,14,86,0,0,"\\""""",24,762,29400,45,6,89,2554003473,2685411329,3233808384,0,1,FALSE,0
RQHVTJF00006025,2020-09-01T14:19:44.000Z,14,7,90,13.73099995,40,14,86,0,0,"\\""""",25,765,28600,45,6,89,2554003473,2685411329,3233808384,0,1,FALSE,0
RQHVTJF00006025,2020-09-01T14:19:47.000Z,14,7,90,13.73099995,37,14,86,0,0,"\\""""",24,759,28600,45,6,89,2554003473,2685411329,3233808384,0,1,FALSE,0
RQHVTJF00006025,2020-09-01T14:19:50.000Z,14,7,90,13.73099995,38,14,85,0,0,"\\""""",24,763,28800,45,6,89,2554003473,2685411329,3233808384,0,1,FALSE,0
RQHVTJF00006025,2020-09-01T14:19:53.000Z,14,7,90,13.73099995,38,14,85,0,0,"\\""""",25,762,28400,45,6,89,2554003473,2685411329,3233808384,0,1,FALSE,0
RQHVTJF00006025,2020-09-01T14:19:56.000Z,14,7,90,13.73099995,38,14,85,0,0,"\\""""",24,761,28200,45,6,89,2554003473,2685411329,3233808384,0,1,FALSE,0
RQHVTJF00006025,2020-09-01T14:19:59.000Z,14,7,90,13.73099995,39,14,85,0,0,"\\""""",24,761,29400,45,6,89,2554003473,2685411329,3233808384,0,1,FALSE,0
RQHVTJF00006025,2020-09-01T14:20:02.000Z,14,7,90,13.73099995,38,14,85,0,0,"\\""""",25,760,29600,45,6,89,2554003473,2685411329,3233808384,0,1,FALSE,0
RQHVTJF00006025,2020-09-01T14:20:05.000Z,14,7,90,13.73099995,38,14,85,0,0,"\\""""",24,761,29400,45,6,89,2554003473,2685411329,3233808384,0,1,FALSE,0
RQHVTJF00006025,2020-09-01T14:20:08.000Z,14,7,90,13.73099995,40,14,85,0,0,"\\""""",24,760,28600,45,6,89,2554003473,2685411329,3233808384,0,1,FALSE,0
RQHVTJF00006025,2020-09-01T14:20:11.000Z,14,7,90,13.73099995,38,14,85,0,0,"\\""""",25,760,28000,45,6,89,2554003473,2685411329,3233808384,0,1,FALSE,0
RQHVTJF00006025,2020-09-01T14:20:14.000Z,14,7,90,13.73099995,1,14,85,0,0,"\\""""",24,758,28000,45,6,89,2554003473,2685411329,3233808384,0,1,FALSE,0
RQHVTJF00006025,2020-09-01T14:20:17.000Z,14,7,90,13.73099995,1,14,85,0,0,"\\""""",24,759,28400,45,6,89,2554003473,2685411329,3233808384,0,1,FALSE,0
RQHVTJF00006025,2020-09-01T14:20:20.000Z,14,7,90,13.73099995,1,14,85,0,0,"\\""""",24,762,28200,45,6,89,2554003473,2685411329,3233808384,0,1,FALSE,0
RQHVTJF00006025,2020-09-01T14:20:23.000Z,14,7,90,13.73099995,1,14,85,0,0,"\\""""",24,760,29200,45,6,89,2554003473,2685411329,3233808384,0,1,FALSE,0
